start,end
Category:Disaster,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
Character:Vijay Bhushan Pathak,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
Character:Miriam Jackson,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
Character:Arun B Shrestha,"Summary:The article discusses a flash flood caused by a burst glacial lake in Sikkim, India. It highlights the impact on infrastructure and settlements along the Teesta river valley, including the destruction of bridges and roads. The incident is compared to other major GLOF events in the Himalayas, emphasizing the need for risk mitigation measures. Experts like Vijay Bhushan Pathak, Miriam Jackson, Arun B Shrestha, and others are mentioned in relation to the event and its implications."
Source:The Verge,"Summary:X, formerly known as Twitter, has launched two new subscription plans: Premium Plus for $16 per month and Basic for $3 per month. The Premium Plus plan offers the largest reply boost and ad-free feeds, while the Basic plan provides a small reply boost but no verification checkmark or reduced ads."
Author:Emma Roth,"Summary:X, formerly known as Twitter, has launched two new subscription plans: Premium Plus for $16 per month and Basic for $3 per month. The Premium Plus plan offers the largest reply boost and ad-free feeds, while the Basic plan provides a small reply boost but no verification checkmark or reduced ads."
Category:Tech,"Summary:X, formerly known as Twitter, has launched two new subscription plans: Premium Plus for $16 per month and Basic for $3 per month. The Premium Plus plan offers the largest reply boost and ad-free feeds, while the Basic plan provides a small reply boost but no verification checkmark or reduced ads."
Character:X (Twitter),"Summary:X, formerly known as Twitter, has launched two new subscription plans: Premium Plus for $16 per month and Basic for $3 per month. The Premium Plus plan offers the largest reply boost and ad-free feeds, while the Basic plan provides a small reply boost but no verification checkmark or reduced ads."
Character:Elon Musk,"Summary:X, formerly known as Twitter, has launched two new subscription plans: Premium Plus for $16 per month and Basic for $3 per month. The Premium Plus plan offers the largest reply boost and ad-free feeds, while the Basic plan provides a small reply boost but no verification checkmark or reduced ads."
Source:Business Insider,"Summary:X, formerly Twitter, has started a $1 annual fee trial for new unverified users in New Zealand and the Philippines to combat bot influence. The platform is testing this 'Not A Bot' program without affecting existing users and hasn't specified if it will be extended globally."
Author:Kwan Wei Kevin Tan,"Summary:X, formerly Twitter, has started a $1 annual fee trial for new unverified users in New Zealand and the Philippines to combat bot influence. The platform is testing this 'Not A Bot' program without affecting existing users and hasn't specified if it will be extended globally."
Category:Technology,"Summary:X, formerly Twitter, has started a $1 annual fee trial for new unverified users in New Zealand and the Philippines to combat bot influence. The platform is testing this 'Not A Bot' program without affecting existing users and hasn't specified if it will be extended globally."
Character:Elon Musk,"Summary:X, formerly Twitter, has started a $1 annual fee trial for new unverified users in New Zealand and the Philippines to combat bot influence. The platform is testing this 'Not A Bot' program without affecting existing users and hasn't specified if it will be extended globally."
Character:Benjamin Netanyahu,"Summary:X, formerly Twitter, has started a $1 annual fee trial for new unverified users in New Zealand and the Philippines to combat bot influence. The platform is testing this 'Not A Bot' program without affecting existing users and hasn't specified if it will be extended globally."
Source:The Verge,"Summary:Instagram is testing a new feature that allows users to filter posts from Meta Verified accounts, potentially making paid verification more attractive. The test is available to select users and includes legacy verified badge holders."
